設立單位類型,服務里別,地點,地址,Latitude,Longitude
其他(人民團體、社區發展協會、學校),廣興里、廣德里,桃園市八德區廣興社區發展協會,桃園市八德區廣興路643號,24.9469812,121.2835513
其他(人民團體、社區發展協會、學校),茄明里,桃園市八德區茄明社區發展協會,桃園市八德區茄明里中華路27號,24.9863914,121.2818339
其他(人民團體、社區發展協會、學校),大明里、大仁里、大湖里、鶯歌區鳳祥里、鶯歌區鳳鳴里、鶯歌區鳳福里,桃園市八德區明仁社區發展協會,桃園市八德區大明里興隆街11巷8號,24.9674124,121.3271327
其他(人民團體、社區發展協會、學校),大興里、大華里、大順里、大昌里、大愛里,桃園市八德區大興社區發展協會,桃園市八德區介壽路二段361巷96號,24.9470509,121.299837
其他(人民團體、社區發展協會、學校),大安里、大竹里,桃園市八德區大安社區發展協會, 桃園市八德區建安街110號(第二活動中心),24.9570859,121.3127737
里辦公處,瑞祥里,桃園市八德區瑞祥里辦公處,桃園市八德區介壽路二段1233巷46-1號,24.9302426,121.2991575
里辦公處,大千里,桃園市八德區大千里辦公處,桃園市八德區大千里東勇街19巷5號、桃園市八德區永福街一段74巷8號,24.960359,121.3063101
里辦公處,大勇里,桃園市八德區大勇里辦公處,桃園市八德區大勇里自強街60號(健促)、桃園市八德區大勇里忠勇街425號(共餐)、桃園市八德區大勇里忠勇街424巷63弄202號(大型活動),24.9676743,121.3035374
其他(人民團體、社區發展協會、學校),大信里,桃園市八德區榮光服務協會,桃園市八德區大信里大興路1025號,24.9366555,121.302581
其他(人民團體、社區發展協會、學校),高城里、高明里、永豐里、桃園區龍祥里、中壢區普忠里,社團法人台灣多元社會福利協會,桃園市八德區高城里高城六街73號,24.9783719,121.272848
其他(人民團體、社區發展協會、學校),大漢里、大義里、大勇里,桃園市八德區大漢社區發展協會,桃園市八德區大漢里東勇一路51號,24.9641465,121.3049146
其他(人民團體、社區發展協會、學校),瑞泰里、瑞德里、瑞發里、大順里,桃園市八德區瑞泰社區發展協會,桃園市八德區瑞泰里2鄰介壽路2段583巷12號,24.94165,121.298272
其他(人民團體、社區發展協會、學校),大成里、大慶里,桃園市八德區大成社區發展協會,桃園市八德區大成里建國路1199號2樓,24.9576953,121.2987409
其他(人民團體、社區發展協會、學校),陸光里、大智里,桃園市陸光關懷協會,桃園市八德區陸光里陸光街50巷1號1樓,24.961571,121.29728
其他(人民團體、社區發展協會、學校),大智里、大福里、大正里、大忠里、大宏里,桃園市八德區老人會,桃園市八德區大智里福國北街220號,24.9631198,121.296878
其他(人民團體、社區發展協會、學校),瑞發里,桃園市八德區瑞發服務協會,桃園市八德區瑞發里介壽路二段946巷2號,24.9350034,121.2970742
其他(人民團體、社區發展協會、學校),竹園里、霄裡里、龍友里,桃園市八德區竹霄社區發展協會,桃園市八德區竹園里15鄰霄裡路12號,24.9330497,121.2639455
其他(人民團體、社區發展協會、學校),高城里、高明里、茄明里、永豐里,桃園市八德區高城社區發展協會,桃園市八德區高城里高城六街60號,24.9789644,121.2743124
其他(人民團體、社區發展協會、學校),茄苳里,桃園市茄苳愛心關懷協會,桃園市八德區永豐路262.264號,24.9695402,121.2760757
其他(人民團體、社區發展協會、學校),大和里、大城里,財團法人弘道老人福利基金會（認知休憩站）,桃園市八德區建國路1124號,24.956655,121.296874
其他(人民團體、社區發展協會、學校),橫峰里、埔心里、溪海里、五權里、青埔里,社團法人中華民國士林靈糧堂社會福利協會（認知休憩站）,桃園市大園區橫峰里大豐二街67號,25.0233717,121.2193557
其他(人民團體、社區發展協會、學校),大海里、三石里、埔心里,桃園市大園區大海社區發展協會,桃園市大園區大海里建國8村164號,25.0612739,121.2313591
其他(人民團體、社區發展協會、學校),溪海里,桃園市大園區溪海社區發展協會,桃園市大園區溪海里聖德北路22巷76弄1號,25.0468388,121.1898403
其他(人民團體、社區發展協會、學校),海口里,桃園市大園區海口社區發展協會,桃園市大園區海口里4鄰漁港路15號,25.1080996,121.2419478
其他(人民團體、社區發展協會、學校),北港里,桃園市大園區北港社區發展協會,桃園市大園區北港里9鄰潮音二路226號,25.0762557,121.1692268
其他(人民團體、社區發展協會、學校),後厝里、圳頭里、沙崙里,桃園市大園區后厝社區發展協會,桃園市大園區後厝里中華路595號,25.0757637,121.21154
其他(人民團體、社區發展協會、學校),埔心里、大海里、田心里,桃園市大園區埔心社區發展協會,桃園市大園區埔心里中正東路一段671巷23號,25.0394907,121.2292704
其他(人民團體、社區發展協會、學校),南港里,桃園市大園區南港社區發展協會,桃園市大園區南港里文治路20號,25.0507602,121.1689512
其他(人民團體、社區發展協會、學校),和平里、溪海里,桃園市大園區和平社區發展協會,桃園市大園區和平里14鄰平南路77巷9號,25.0395766,121.1804569
其他(人民團體、社區發展協會、學校),大園里、田心里、埔心里、溪海里、南港里、橫峰里、後厝里、北港里,桃園市大園區大園社區發展協會,桃園市桃園區大園里32鄰和平東路89號,25.0626706,121.200378
其他(人民團體、社區發展協會、學校),三石里、?林里,桃園市大園區三石社區發展協會,桃園市大園區三石里三和路5號2樓,25.0730407,121.2582328
其他(人民團體、社區發展協會、學校),橫峰里、大園里、中壢區青埔里,桃園市大園區橫峰社區發展協會,桃園市大園區橫峰里中山南路361-1號,25.0172573,121.2105625
其他(人民團體、社區發展協會、學校),竹圍里、海口里、沙崙里,桃園市大園區竹圍社區發展協會,桃園市大園區竹圍里8鄰90-6號,25.0937699,121.2426057
其他(人民團體、社區發展協會、學校),圳頭里,桃園市大園區圳頭社區發展協會,桃園市大園區圳頭里濱海路二段432號及後館路25號,25.0895208,121.1989886
其他(人民團體、社區發展協會、學校),沙崙里、後厝里、竹圍里,桃園市大園區沙崙社區發展協會,桃園市大園區沙崙里12鄰41-3號,24.8670422,121.2363261
其他(人民團體、社區發展協會、學校),內海里,桃園市大園區內海社區發展協會,桃園市大園區內海里2鄰學府路11號,25.0853755,121.1897258
其他(人民團體、社區發展協會、學校),正義里、信義里、普強里、普仁里、普忠里,社團法人桃園市木匠的家協會（認知休憩站）,桃園市中壢區正義里中北路二段387號,24.9541082,121.2315504
其他(人民團體、社區發展協會、學校),湧豐里、湧安里、莊敬里、平安里、福林里、山峰里、東勢里、南勢里,社團法人桃園市愛鄰舍協會（認知休憩站）,桃園市平鎮區湧豐里南豐路194號,24.899911,121.2059003
其他(人民團體、社區發展協會、學校),仁武里、仁文里,桃園市大溪區崎頂社區發展協會,桃園市大溪區仁武里1鄰公園路30號2樓,24.90478,121.2840099
其他(人民團體、社區發展協會、學校),中新里,桃園市大溪區中興社區發展協會,桃園市大溪區中新里大鶯路1450巷26號,24.9285522,121.3168774
其他(人民團體、社區發展協會、學校),仁善里、仁美里,桃園市大溪區仁善社區發展協會,桃園市大溪區仁善里仁德街19號,24.9089157,121.2789883
其他(人民團體、社區發展協會、學校),仁和里、仁愛里、仁文里、光明里,桃園市大溪區仁和社區發展協會,桃園市大溪區仁和里仁和七街159號二樓,24.8946812,121.2731122
其他(人民團體、社區發展協會、學校),仁文里,桃園市大溪區長青老人會,桃園市大溪區仁文里介壽路1267巷33號,24.8986685,121.2858209
其他(人民團體、社區發展協會、學校),南興里,桃園市大溪區南興社區發展協會,桃園市大溪區南興里仁和路二段190巷29號,24.9043549,121.2636901
其他(人民團體、社區發展協會、學校),月眉里,桃園市大溪區月眉社區發展協會,桃園市大溪區月眉里月湖路56號,24.8896111,121.2878716
其他(人民團體、社區發展協會、學校),永福里、月眉里,桃園市大溪區永福社區發展協會,桃園市大溪區永福里信義路1125號,24.8943641,121.3241836
里辦公處,一德里,桃園市大溪區一德里辦公處,桃園市大溪區一德里文化路253號,24.8761443,121.2884527
里辦公處,僑愛里,桃園市大溪區僑愛里辦公處,桃園市大溪區僑愛里僑愛一街55號,24.9228674,121.293594
里辦公處,仁義里,桃園市大溪區仁義里辦公處,桃園市大溪區仁義里介壽路211巷2弄32號,24.9197678,121.2933655
其他(人民團體、社區發展協會、學校),一心里、義和里、田心里,桃園市愛鎮協會,桃園市大溪區田心里東二路31號,24.8838419,121.2917933
其他(人民團體、社區發展協會、學校),福仁里、興和里,桃園市大溪區興福社區發展協會,桃園市大溪區福仁里仁愛路11號,24.8851249,121.2857261
其他(人民團體、社區發展協會、學校),一心里、田心里,桃園市大溪區下田心社區發展協會,桃園市大溪區一新里民權東路94巷29號,24.8813572,121.2912414
其他(人民團體、社區發展協會、學校),一心里、一德里、田心里、興和里、福仁里、月眉里、永福里、美華里,財團法人雙福社會福利慈善事業基金會（認知休憩站）,桃園市大溪區一心里文化路161號,24.8778394,121.290521
其他(人民團體、社區發展協會、學校),石磊里、赤欄里、後湖里,桃園市新屋區石磊社區發展協會,桃園市新屋區石磊里三民路二段276號,24.9931067,121.0793911
其他(人民團體、社區發展協會、學校),頭洲里、中壢區過嶺里,桃園市新屋區頭洲社區發展協會,桃園市新屋區頭洲里中山東路2段668巷48號2樓,24.9724529,121.127571
其他(人民團體、社區發展協會、學校),下埔里,桃園市新屋區下埔社區發展協會,桃園市新屋區下埔里東興路2段1100號,25.0076028,121.0446521
