設立單位類型,服務里別,地點,地址,Latitude,Longitude
其他(人民團體、社區發展協會、學校),龍慈里,社團法人台灣樂活服務發展協會(豐收據點),桃園市中壢區龍慈里後寮一路320號,24.9360163,121.2464053
其他(人民團體、社區發展協會、學校),舊明里,財團法人台灣省桃園縣中華基督教中壢浸信會,桃園市中壢區舊明里民族路53號,24.955691,121.21385
其他(人民團體、社區發展協會、學校),信義里、正義里、水尾里、明德里、仁福里、平鎮區貿易里,財團法人台灣省中國基督教靈糧世界佈道會中壢靈糧堂,桃園市中壢區信義里杭州路71號,24.9511081,121.2354062
其他(人民團體、社區發展協會、學校),新明里、光明里、永光里,社團法人桃園市濟世功德協進會(中壢站),桃園市中壢區光明里明德路178號2樓,24.959406,121.216931
其他(人民團體、社區發展協會、學校),石頭里,社團法人中華民國國際慈善文教協會,桃園市中壢區石頭里永樂路33號,24.9528762,121.222319
其他(人民團體、社區發展協會、學校),普強里,社團法人台灣樂活服務發展協會(普強據點),桃園市中壢普強里區民有街17號1樓,24.9530723,121.2381127
其他(人民團體、社區發展協會、學校),明德里、信義里、正義里、新興里,財團法人台灣省新竹縣基督教改革宗長老會竹東教會,桃園市中壢區明德里吉長街34號,24.9465039,121.2306259
其他(人民團體、社區發展協會、學校),復華里,桃園市中壢區復華社區發展協會,桃園市中壢區復華里復華街188號,24.9729133,121.2482174
其他(人民團體、社區發展協會、學校),林森里、新興里、振興里,桃園市中壢區新振社區發展協會,桃園市中壢區林森路90號(南區老人文康活動中心),24.9466287,121.2276512
其他(人民團體、社區發展協會、學校),新街里、金華里、水尾里、興國里,桃園市樂活銀髮族協會,桃園市中壢區新街里環北路398號15樓-1,24.9654722,121.2263378
其他(人民團體、社區發展協會、學校),忠福里、幸福里,社團法人桃園市幸福家庭培力協會,桃園市中壢區忠福里福安二街50號1樓,24.9686888,121.2320003
其他(人民團體、社區發展協會、學校),石頭里,社團法人桃園市愛鄰舍協會（復興據點）,桃園市中壢區石頭里13鄰復興路161號3樓,24.9538364,121.2236603
其他(人民團體、社區發展協會、學校),五福里、廣興里,社團法人桃園市愛鄰舍協會（新明據點）,桃園市中壢區五福里中正路447號4樓,24.9565163,121.2141156
其他(人民團體、社區發展協會、學校),忠福里,桃園市中壢區忠福社區發展協會,桃園市中壢區忠福里華廈路158號,24.9731556,121.2297268
其他(人民團體、社區發展協會、學校),月眉里,桃園市中壢區月眉社區發展協會,桃園市中壢區月眉里月桃路828號,25.0103118,121.1844323
其他(人民團體、社區發展協會、學校),,銀髮族(中壢站),桃園市中壢區自強里榮民路48號,24.9695159,121.2606098
里辦公處,長庚里、樂善里,桃園市龜山區長庚里辦公處,桃園市龜山區長庚里長庚醫護新村80號B1,25.0577498,121.3825146
里辦公處,山頂里,桃園市龜山區山頂里辦公處,桃園市龜山區山頂里明興街36號,24.9862567,121.3303499
里辦公處,新嶺里,桃園市龜山區新嶺里辦公處,桃園市龜山區新嶺里寶石街9號,25.0004539,121.3659674
其他(人民團體、社區發展協會、學校),南上里,桃園市龜山區南上社區發展協會,桃園市龜山區南上里民生北路一段386-1號,25.041185,121.2998991
其他(人民團體、社區發展協會、學校),幸福里,桃園市龜山區幸福社區發展協會,桃園市龜山區幸福里幸福1街38號之1,24.988225,121.3343712
其他(人民團體、社區發展協會、學校),龜山里、大同里、中興里、陸光里、精忠里、楓樹里、兔坑里,社團法人桃園市社會服務關懷協會(龜山據點),桃園市龜山區自強東路164號1樓,24.9958282,121.3433294
其他(人民團體、社區發展協會、學校),嶺頂里、新嶺里,桃園市龜山區嶺頂社區發展協會,桃園市龜山區嶺頂里萬壽路二段6巷61號,25.0030466,121.3646832
其他(人民團體、社區發展協會、學校),大湖里、大華里、大崗里、公西里、文化里,桃園市龜山區大湖社區發展協會,桃園市龜山區大湖里忠義路二段638巷5號,25.0572356,121.358407
其他(人民團體、社區發展協會、學校),大華里,社團法人桃園市龜山區傳愛社區關懷協會,桃園市龜山區大華里文化七路118巷7號,25.0508328,121.3662689
其他(人民團體、社區發展協會、學校),兔坑里,桃園市龜山區兔坑社區發展協會,桃園市龜山區兔坑里大同路918號；兔坑里幸美九街35號,24.9879762,121.3581972
其他(人民團體、社區發展協會、學校),陸光里,桃園市龜山區陸光社區發展協會,桃園市龜山區陸光里陸光路79號1樓,24.9955031,121.3318651
其他(人民團體、社區發展協會、學校),福源里,桃園市家庭照顧者關懷協會,桃園市龜山區福源里大同路356巷62弄59-1號,24.9844207,121.3472162
其他(人民團體、社區發展協會、學校),新興里,桃園市龜山區貿商社區發展協會,桃園市龜山區新興里中興路196巷2號1樓,24.990121,121.333649
其他(人民團體、社區發展協會、學校),龍華里,桃園市龜山區龍華社區發展協會,桃園市龜山區龍華里萬壽路一段422巷22弄43-1號,25.0177656,121.4007703
其他(人民團體、社區發展協會、學校),大同里,桃園市龜山區大同社區發展協會,桃園市龜山區大同里明德路203巷10號,24.9912429,121.3422725
其他(人民團體、社區發展協會、學校),舊路里,桃園市龜山區舊路社區發展協會,桃園市龜山區舊路里振興路749巷1弄18號,25.0180686,121.3610426
其他(人民團體、社區發展協會、學校),大坑里、南美里、南上里,社團法人中華關聖帝君文化交流協會,桃園市龜山區大坑里大坑路三段150巷6弄1號,25.0549378,121.3379214
其他(人民團體、社區發展協會、學校),新路里、中興里、幸福里,社團法人桃園市失能老人關懷協會（認知休憩站）,桃園市八德區樹仁三街601號,24.975134,121.309724
里辦公處,南興里,桃園市蘆竹區南興里辦公處,桃園市蘆竹區南興里南福街100號,25.0403867,121.2928468
里辦公處,長興里,桃園市蘆竹區長興里辦公處,桃園市蘆竹區長興里長興路四段75-1號,25.0667802,121.2696902
里辦公處,山鼻里,桃園市蘆竹區山鼻里辦公處,桃園市蘆竹區山鼻里長興路二段26巷1號,25.0668825,121.2911966
其他(人民團體、社區發展協會、學校),宏竹里,桃園市蘆竹區宏竹社區發展協會,桃園市蘆竹區宏竹里大華街101號,25.0402952,121.2565529
其他(人民團體、社區發展協會、學校),南崁里,桃園市蘆竹區南崁社區發展協會,桃園市蘆竹區南崁里南崁路152號2樓,25.0472557,121.294755
其他(人民團體、社區發展協會、學校),上興里、中興里,桃園市中興愛鄰服務協會,桃園市蘆竹區上興里上興路188號(對面),25.0189044,121.2611125
其他(人民團體、社區發展協會、學校),羊稠里,社團法人台灣樂活服務發展協會(蘆竹法國號),桃園市蘆竹區羊稠里中山路72號6樓,25.0548899,121.2992413
其他(人民團體、社區發展協會、學校),南榮里、南興里、興榮里,桃園市蘆竹區南榮社區發展協會,桃園市蘆竹區南榮里桃園街9號,25.0427929,121.2934318
其他(人民團體、社區發展協會、學校),錦興里、興榮里,桃園市蘆竹區錦興社區發展協會,桃園市蘆竹區錦興里光明路二段143巷29號,25.0481972,121.2866201
其他(人民團體、社區發展協會、學校),瓦窯里,桃園市蘆竹區瓦窯社區發展協會,桃園市蘆竹區瓦窯里仁愛路一段2號,25.0507131,121.2934588
其他(人民團體、社區發展協會、學校),營盤里、營福里,桃園市蘆竹區營盤社區發展協會,桃園市蘆竹區營福里中山路108巷21號,25.0564227,121.2992276
其他(人民團體、社區發展協會、學校),海湖里,桃園市蘆竹區海湖社區發展協會,桃園市蘆竹區海湖里海湖東路217號,25.0784359,121.2969674
其他(人民團體、社區發展協會、學校),順興里,桃園市蘆竹區順興社區發展協會,桃園市蘆竹區順興里南昌路36號,25.0418068,121.2882166
其他(人民團體、社區發展協會、學校),蘆竹里,桃園市蘆竹區蘆竹社區發展協會, (三)桃園市蘆竹區蘆竹里南青路850巷50號,25.0527783,121.2625919
其他(人民團體、社區發展協會、學校),外社里,桃園市蘆竹區外社社區發展協會,桃園市蘆竹區外社里山林路二段490號,25.0821089,121.3059508
其他(人民團體、社區發展協會、學校),中山里,桃園市蘆竹區中山社區發展協會,桃園市蘆竹區中山里福祿一街40號1樓,25.0553931,121.2970404
其他(人民團體、社區發展協會、學校),五福里、福祿里,桃園市蘆竹區五福社區發展協會,桃園市蘆竹區五福里福祿五街18號,25.0535806,121.2958501
其他(人民團體、社區發展協會、學校),內厝里,桃園市蘆竹區內厝社區發展協會,桃園市蘆竹區內厝里南山路2段394巷67號,25.0715423,121.287584
其他(人民團體、社區發展協會、學校),興榮里,歡喜學堂推廣協會(蘆竹區興榮里),桃園市蘆竹區興榮里中正路287號3樓之2,25.0476014,121.2916803
其他(人民團體、社區發展協會、學校),正興里,歡喜學堂推廣協會(蘆竹區正興里),桃園市蘆竹區正興里奉化路104巷45弄11號,25.0389082,121.2880416
其他(人民團體、社區發展協會、學校),山腳里,桃園市蘆竹區山腳社區發展協會,桃園市蘆竹區山腳里南山路三段357巷10號,25.0867288,121.2860617
其他(人民團體、社區發展協會、學校),新興里,桃園市蘆竹區新興社區發展協會,桃園市蘆竹區新興里大竹路一巷500弄18號,25.0044315,121.2757657
其他(人民團體、社區發展協會、學校),坑口里,桃園市蘆竹區坑口里回饋關懷公益協會,週三:桃園市蘆竹區坑口里坑?路661巷2號,25.1055557,121.2749531
其他(人民團體、社區發展協會、學校),吉祥里,桃園市蘆竹區吉祥社區發展協會,桃園市蘆竹區吉祥里吉林路105號,25.0495458,121.2984647
其他(人民團體、社區發展協會、學校),坑子里,桃園市蘆竹區坑子社區發展協會,桃園市蘆竹區坑子里2鄰山林路三段102巷9號,25.0776742,121.3162726
其他(人民團體、社區發展協會、學校),中福里、中興里、新興里,桃園市蘆竹區中福社區發展協會,桃園市蘆竹區中福里龍安街二段985號,25.0057748,121.2586493
其他(人民團體、社區發展協會、學校),長壽里、吉祥里,歡喜學堂推廣協會(認知休憩站),桃園市蘆竹區吉林路156巷13號,25.0502756,121.2993306
里辦公處,永平里、梅溪里、青山里,桃園市楊梅區永平里辦公處,桃園市楊梅區中山北路2段268巷16號,24.9112116,121.1734339
其他(人民團體、社區發展協會、學校),金龍里,桃園市楊梅區金龍社區發展協會,桃園市楊梅區金龍里中興路236-1號,24.914424,121.1864277
其他(人民團體、社區發展協會、學校),梅溪里、瑞溪里、光華里、瑞塘里、三民里,財團法人臺北市阿瑪社會福利慈善事業基金會(中山據點),桃園市楊梅區梅溪里中山北路2段191號,24.9090448,121.1719849
其他(人民團體、社區發展協會、學校),紅梅里、秀才里、梅新里,桃園市楊梅志願服務協會,桃園市楊梅區梅溪里校前路5號,24.9056321,121.1441231
其他(人民團體、社區發展協會、學校),三民里、金溪里、裕成里,社團法人桃園市健康家庭教育協會,桃園市楊梅區三民里中山北路2段87巷11號1樓,24.9075978,121.1694078
其他(人民團體、社區發展協會、學校),楊明里、梅溪里、大同里,社團法人台灣樂活服務發展協會(一品據點),桃園市楊梅區楊明里新農街429巷32弄2號,24.9129679,121.1582522
其他(人民團體、社區發展協會、學校),光華里、仁美里、埔心里,社團法人台灣樂活服務發展協會(榮耀堂據點),桃園市楊梅區光華里新興街125巷42號,24.9161194,121.1836793
其他(人民團體、社區發展協會、學校),紅梅里、梅新里、中山里、永寧里、大同里,社團法人台灣樂活服務發展協會（宣聖堂）,桃園市楊梅區紅梅里校前路32巷25-1號,24.9040257,121.1452086
其他(人民團體、社區發展協會、學校),仁美里、埔心里、高上里、平鎮區平鎮里、鎮興里,財團法人臺北市阿瑪社會福利慈善事業基金會(永美據點),桃園市楊梅區仁美里永美路15號,24.9222942,121.1870755
其他(人民團體、社區發展協會、學校),瑞塘里、埔心里、四維里,桃園市城鄉發展婦女協會,桃園市楊梅區瑞塘里萬福街119號,24.9123865,121.1782984
其他(人民團體、社區發展協會、學校),大同里、中山里,桃園市楊梅區大合社區發展協會,楊梅區大同里9鄰自立街2號,24.911004,121.1491171
其他(人民團體、社區發展協會、學校),裕成里、裕新里,桃園市楊梅區山城社區發展協會,桃園市楊梅區裕成里裕成路170巷16號,24.8983342,121.1601975
其他(人民團體、社區發展協會、學校),四維里、瑞塘里、瑞溪里、埔心里、光華里、三民里、金龍里,財團法人臺北市阿瑪社會福利慈善基金會（四維據點）,桃園市楊梅區四維里四維路118號,24.9130295,121.1811464
其他(人民團體、社區發展協會、學校),瑞原里、富豐里,桃園市楊梅區瑞原社區發展協會,桃園市楊梅區瑞原里民豐路506-1號,24.9295908,121.1118478
其他(人民團體、社區發展協會、學校),上田里,桃園市楊梅區上田社區發展協會,桃園市楊梅區上田里和平路87號,24.9370905,121.1263549
其他(人民團體、社區發展協會、學校),豐野里、富岡里、新屋區望間里,中華光明之家共生家園協會(豐野據點),桃園市楊梅區豐野里中正路265號,24.9242108,121.1366715
其他(人民團體、社區發展協會、學校),頭湖里、三湖里,桃園市楊梅區三湖社區發展協會,桃園市楊梅區三湖里楊湖路2段491號,24.9120201,121.1084369
其他(人民團體、社區發展協會、學校),水美里,桃園市楊梅區水美社區發展協會,桃園區楊梅區水美里楊新路2段2-1號,24.9189988,121.1370072
其他(人民團體、社區發展協會、學校),上湖里、三湖里,桃園市楊梅區上湖社區發展協會,桃園市楊梅區上湖里楊湖路3段679-1號,24.912026,121.0824825
其他(人民團體、社區發展協會、學校),東流里,桃園市楊梅區大東社區發展協會,桃園市楊梅區東流里甡甡路440號,24.895851,121.12953
其他(人民團體、社區發展協會、學校),豐野里,桃園市楊梅區豐野社區發展協會,桃園市楊梅區豐野里4鄰信義街83巷25弄23號,24.9353748,121.0842962
其他(人民團體、社區發展協會、學校),永寧里、梅新里,桃園市楊梅區永揚社區發展協會,桃園市楊梅區永寧里校前路324巷148號,24.8979831,121.1481731
其他(人民團體、社區發展協會、學校),楊梅里、楊江里、紅梅里、梅新里,社團法人中華民國紅十字會桃園市分會,桃園市楊梅區楊梅里大模街10號2樓,24.9128991,121.1446149
其他(人民團體、社區發展協會、學校),高榮里、新榮里,桃園市楊梅區高榮社區發展協會,桃園市楊梅區高榮里幼獅路2段390-2號,24.9373697,121.1653116
其他(人民團體、社區發展協會、學校),員本里、瑞原里,桃園市楊梅區員本社區發展協會,桃園市楊梅區員本里2鄰員本路532-1號,24.9383134,121.1061714
其他(人民團體、社區發展協會、學校),大平里、紅梅里、秀才里,桃園市楊梅大平友善照護協會,桃園市楊梅區大平里秀才路178巷2號,24.901896,121.1408561
其他(人民團體、社區發展協會、學校),建安里,桃園市平鎮區建安社區發展協會,桃園市平鎮區建安里平東路688號,24.9125722,121.2386483
其他(人民團體、社區發展協會、學校),北勢里、金陵里、北華里,社團法人台灣樂活服務發展協會(行道會據點),桃園市平鎮區北勢里莒光路1號2、3樓,24.9470528,121.2224103
其他(人民團體、社區發展協會、學校),新勢里,桃園市平鎮區守望相助推廣協會,桃園市平鎮區新勢里延平路一段162號,24.9508172,121.2163465
其他(人民團體、社區發展協會、學校),北華里、北安里、北勢里、金陵里,桃園市平鎮區北勢社區發展協會,桃園市平鎮區北華里振平街153號,24.9424973,121.2206706
其他(人民團體、社區發展協會、學校),東社里,桃園市平鎮區東社社區發展協會,桃園市平鎮區東社里圳南路50巷23號,24.9224473,121.2449266
其他(人民團體、社區發展協會、學校),南勢里、平南里,桃園市平鎮區南勢社區發展協會,桃園市平鎮區南勢里中豐路南勢二段317-1號,24.9108739,121.2114906
其他(人民團體、社區發展協會、學校),北貴里、北富里,桃園市平鎮區獅子林社區發展協會,桃園市平鎮區北貴里大仁街46號,24.928176,121.2252771
其他(人民團體、社區發展協會、學校),湧光里、莊敬里,社團法人桃園市愛鄰舍協會(湧光據點),桃園市平鎮區湧光里湧光路2巷13弄15號1樓,24.8987545,121.2101711
其他(人民團體、社區發展協會、學校),鎮興里、平鎮里、仁美里,社團法人桃園市安平鎮庄文化協會,桃園市平鎮區鎮興里中興路平鎮段229號,24.905638,121.1942469
其他(人民團體、社區發展協會、學校),高雙里、雙連里,桃園市平鎮區高連社區發展協會,桃園市平鎮區高雙里高雙路80號,24.9550918,121.1890124
其他(人民團體、社區發展協會、學校),北興里、北貴里、北富里,社團法人桃園市地球村代間藝術教育促進會,桃園市平鎮區北貴里正義路70號,24.9298503,121.2226484
其他(人民團體、社區發展協會、學校),義民里,桃園市平鎮區義民社區發展協會,桃園市平鎮區義民里復旦路2段23巷8號,24.9475403,121.2050324
其他(人民團體、社區發展協會、學校),東勢里,桃園市平鎮區東勢社區發展協會,桃園市平鎮區東勢里金陵路五段55號,24.9103443,121.2313254
其他(人民團體、社區發展協會、學校),平鎮里、鎮興里,桃園市平鎮區平鎮社區發展協會,桃園市平鎮區平鎮里南平路2段516巷進去800公尺,24.9246065,121.1943131
其他(人民團體、社區發展協會、學校),北興里,桃園市平鎮區北興社區發展協會,桃園市平鎮區北興里金陵路2段353號,24.9374512,121.2246957
其他(人民團體、社區發展協會、學校),華安里、東安里、新安里,桃園市平鎮區三安社區發展協會, 桃園市平鎮區華安里平東路246巷16弄2號,24.9161611,121.2485775
里辦公處,福林里,桃園市平鎮區福林里辦公處,桃園市平鎮區福林里東豐路326號,24.901819,121.2192394
里辦公處,平興里、宋屋里、義民里,桃園市平鎮區平興里辦公處,桃園市平鎮區平興里廣泰路85號,24.9455788,121.2044529
里辦公處,北勢里,桃園市平鎮區北勢里辦公處,桃園市平鎮區北勢里和平路52號,24.948894,121.221415
里辦公處,雙連里,桃園市平鎮區雙連里辦公處,桃園市平鎮區雙連里民族路雙連二段118巷22號,24.9601449,121.1831372
里辦公處,復興里、復旦里、廣達里,桃園市平鎮區復興里辦公處,桃園市平鎮區復興里復興街55號,24.9543327,121.2049137
里辦公處,新榮里、新勢里,桃園市平鎮區新榮里辦公處,桃園市平鎮區新榮里振興西路112-1號,24.9457402,121.2144761
里辦公處,義興里,桃園市平鎮區義興里辦公處,桃園市平鎮區義興里義興街80號,24.9497783,121.2093191
里辦公處,莊敬里,桃園市平鎮區莊敬里辦公處,桃園市平鎮區莊敬里自強街100號,24.9041552,121.2148874
里辦公處,貿易里、忠貞里、龍興里,桃園市平鎮區貿易里辦公處,桃園市平鎮區貿易里貿五路36號,24.9273644,121.2528022
里辦公處,廣仁里,桃園市平鎮區廣仁里辦公處,"1.桃園市平鎮區廣仁里廣南路151號
 2.桃園市平鎮區廣仁里新光路二段9巷62弄5、7號(新光分站)",24.9399186,121.206604
里辦公處,廣興里,桃園市平鎮區廣興里辦公處,"1.桃園市平鎮區廣興里明德北路11號
 2.桃園市平鎮區廣興里明德北路8-1號",24.9532394,121.2145357
其他(人民團體、社區發展協會、學校),新富里,桃園市銀髮族協會,桃園市平鎮區新富里環南路三段88號(平鎮社教文化中心),24.9397176,121.2177667
其他(人民團體、社區發展協會、學校),三民里,財團法人台灣基督長老教會泰雅爾中會三民教會,桃園市復興區三民里19鄰基國派路511巷31號,24.836748,121.344127
其他(人民團體、社區發展協會、學校),高平里、上林里、中正里、富林里、,財團法人新生醫護管理專科學校,桃園市龍潭區高平里中豐路高平段418號,24.8319108,121.2086908
診所、護理機構,楊梅里,民安診所,桃園市楊梅區楊梅里大成路175號,24.9124462,121.1457028
診所、護理機構,永平里,姜博文診所,桃園市楊梅區永平里永美路335號,24.9170199,121.182186
長期照顧中心,北貴里,財團法人桃園市私立國宏老人長期照顧中心(養護型),桃園市平鎮區北貴里大勇街86號,24.9284999,121.2237309
醫院,普慶里,長慎醫院,桃園市中壢區普慶里中山東路二段525號1樓,24.9468469,121.2461445
診所、護理機構,莊敬里,活力診所,桃園市中壢區莊敬里莊敬路160號2樓,24.9680255,121.2574098
診所、護理機構,大忠里、大智里,旭登護理之家,桃園市八德區大忠里永福街116號,24.9621265,121.3029667
診所、護理機構,高明里、高城里、茄冬里,敦仁診所附設居家護理所,桃園市八德區高明里1鄰永豐路572巷21號,24.9759293,121.2720668
診所、護理機構,田心里、一心里,張輝鵬診所,桃園市大溪區田心里民權東路94巷13號,24.8821082,121.2917419
診所、護理機構,上興里,晨光診所,桃園市蘆竹區上興里大竹路395-1號2樓,25.0208561,121.2640038
診所、護理機構,錦興里,晨新診所,桃園市蘆竹區錦興里中正路357號4-5樓,25.0490041,121.290965
診所、護理機構,大竹里,慶成診所,桃園市蘆竹區大竹里大新路107號2樓,25.0246703,121.255919
診所、護理機構,橫峰里,沛田心理治療所,桃園市大園區橫峰里橫湳路203號,25.0573662,121.2088863
醫院,三元里、成功里、大有里,臺北榮民總醫院桃園分院,桃園市桃園區三元里成功路三段100號,25.0043516,121.3241788
其他(人民團體、社區發展協會、學校),高平里、上林里、中正里、富林里、,財團法人新生醫護管理專科學校,桃園市龍潭區高平里中豐路高平段418號,24.8319108,121.2086908
診所、護理機構,楊梅里,民安診所,桃園市楊梅區楊梅里大成路175號,24.9124462,121.1457028
診所、護理機構,永平里,姜博文診所,桃園市楊梅區永平里永美路335號,24.9170199,121.182186
長期照顧中心,北貴里,財團法人桃園市私立國宏老人長期照顧中心(養護型),桃園市平鎮區北貴里大勇街86號,24.9284999,121.2237309
醫院,普慶里,長慎醫院,桃園市中壢區普慶里中山東路二段525號1樓,24.9468469,121.2461445
診所、護理機構,莊敬里,活力診所,桃園市中壢區莊敬里莊敬路160號2樓,24.9680255,121.2574098
診所、護理機構,大忠里、大智里,旭登護理之家,桃園市八德區大忠里永福街116號,24.9621265,121.3029667
診所、護理機構,高明里、高城里、茄冬里,敦仁診所附設居家護理所,桃園市八德區高明里1鄰永豐路572巷21號,24.9759293,121.2720668
診所、護理機構,田心里、一心里,張輝鵬診所,桃園市大溪區田心里民權東路94巷13號,24.8821082,121.2917419
診所、護理機構,上興里,晨光診所,桃園市蘆竹區上興里大竹路395-1號2樓,25.0208561,121.2640038
診所、護理機構,錦興里,晨新診所,桃園市蘆竹區錦興里中正路357號4-5樓,25.0490041,121.290965
診所、護理機構,大竹里,慶成診所,桃園市蘆竹區大竹里大新路107號2樓,25.0246703,121.255919
診所、護理機構,橫峰里,沛田心理治療所,桃園市大園區橫峰里橫湳路203號,25.0573662,121.2088863
醫院,三元里、成功里、大有里,臺北榮民總醫院桃園分院,桃園市桃園區三元里成功路三段100號,25.0043516,121.3241788
